Date,Yield to Maturity
1998-03-31,5.6555
1999-03-31,5.2336
2000-03-31,6.0086
2001-03-30,4.9106
2002-03-28,5.4019
2003-03-31,3.8019
2004-03-31,3.840117
2005-03-31,4.4928
2006-03-31,4.853296
2007-03-30,4.652404
2008-03-31,3.425123
2009-03-31,2.668702
2010-03-31,3.830527
2011-03-31,3.471647
2012-03-30,2.217528
2013-03-28,1.850814
2014-03-31,2.7189
2015-03-31,1.9266
2016-03-31,1.7704
2017-03-31,2.3892
2018-03-29,2.7407
2019-03-29,2.4068
2020-03-31,0.6679
2021-03-31,1.744
2022-03-31,2.3452
2023-03-31,3.4733
2024-03-28,4.2062
2025-03-31,4.211
